16-10-2019 15:09:04 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:04 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:04 INFO  Voice:626 - Registering voice `cmu-slt-hsmm': female, locale en_US
16-10-2019 15:09:04 INFO  Voice:643 - New default voice for locale en_US: cmu-slt-hsmm (desire 0)
16-10-2019 15:09:04 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:04 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:05 INFO  Voice:626 - Registering voice `dfki-prudence-hsmm': female, locale en_GB
16-10-2019 15:09:05 INFO  Voice:643 - New default voice for locale en_GB: dfki-prudence-hsmm (desire 0)
16-10-2019 15:09:05 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:05 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:05 INFO  Voice:626 - Registering voice `cmu-rms-hsmm': male, locale en_US
16-10-2019 15:09:05 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:05 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:05 INFO  Voice:626 - Registering voice `enst-dennys-hsmm': male, locale fr
16-10-2019 15:09:05 INFO  Voice:643 - New default voice for locale fr: enst-dennys-hsmm (desire 0)
16-10-2019 15:09:05 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:05 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:05 INFO  Voice:626 - Registering voice `upmc-pierre-hsmm': male, locale fr
16-10-2019 15:09:05 INFO  HMMData:710 - Loading Tree Set in CARTs:
16-10-2019 15:09:05 INFO  HMMData:713 - Loading GV Model Set:
16-10-2019 15:09:05 INFO  Voice:626 - Registering voice `istc-lucia-hsmm': female, locale it
16-10-2019 15:09:05 INFO  Voice:643 - New default voice for locale it: istc-lucia-hsmm (desire 0)
16-10-2019 15:09:05 INFO  HMMSynthesizer:160 - started.
16-10-2019 15:09:05 INFO  Synthesis:121 - Module started (ACOUSTPARAMS->AUDIO, locale null).
16-10-2019 15:09:05 INFO  HMMSynthesizer:172 - Starting power-on self test.
16-10-2019 15:09:05 INFO  HMMSynthesizer:216 - Power-on self test complete.
16-10-2019 15:09:05 INFO  TextToMaryXML:121 - Module started (TEXT->RAWMARYXML, locale null).
16-10-2019 15:09:05 INFO  TextToMaryXML:134 - Starting power-on self test.
16-10-2019 15:09:05 WARN  TextToMaryXML:129 - Locale is null, overriding with de_DE
16-10-2019 15:09:05 WARN  TextToMaryXML:129 - Locale is null, overriding with de_DE
16-10-2019 15:09:05 INFO  TextToMaryXML:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  SableParser:121 - Module started (SABLE->RAWMARYXML, locale null).
16-10-2019 15:09:06 INFO  SableParser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  SableParser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  SSMLParser:121 - Module started (SSML->RAWMARYXML, locale null).
16-10-2019 15:09:06 INFO  SSMLParser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  SSMLParser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  APMLParser:121 - Module started (APML->RAWMARYXML, locale null).
16-10-2019 15:09:06 INFO  APMLParser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  APMLParser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  EmotionmlParser:121 - Module started (EMOTIONML->RAWMARYXML, locale null).
16-10-2019 15:09:06 INFO  EmotionmlParser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  EmotionmlParser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  JTokeniser:121 - Module started (RAWMARYXML->TOKENS, locale null).
16-10-2019 15:09:06 INFO  JTok:146 - loading language resources for en from jtok/en
16-10-2019 15:09:06 INFO  JTokeniser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  JTokeniser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  DummyTokens2Words:121 - Module started (TOKENS->WORDS, locale null).
16-10-2019 15:09:06 INFO  DummyTokens2Words:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  DummyTokens2Words:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Prosody:121 - Module started (PHONEMES->INTONATION, locale null).
16-10-2019 15:09:06 INFO  Prosody:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Prosody:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  PronunciationModel:121 - Module started (INTONATION->ALLOPHONES, locale null).
16-10-2019 15:09:06 INFO  PronunciationModel:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  PronunciationModel:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  TargetFeatureLister:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  TargetFeatureLister:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  TargetFeatureLister:121 - Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
16-10-2019 15:09:06 INFO  TargetFeatureLister:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  TargetFeatureLister:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  AcousticModeller:121 - Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
16-10-2019 15:09:06 INFO  AcousticModeller:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  AcousticModeller:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Realised acoustparams extractor:121 - Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
16-10-2019 15:09:06 INFO  Realised acoustparams extractor:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Realised acoustparams extractor:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Realised durations extractor:121 - Module started (AUDIO->REALISED_DURATIONS, locale null).
16-10-2019 15:09:06 INFO  Realised durations extractor:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Realised durations extractor:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Praat TextGrid generator:121 - Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
16-10-2019 15:09:06 INFO  Praat TextGrid generator:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Praat TextGrid generator:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  JTokeniser:121 - Module started (RAWMARYXML->TOKENS, locale en).
16-10-2019 15:09:06 INFO  JTok:146 - loading language resources for en from jtok/en
16-10-2019 15:09:06 INFO  JTokeniser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  JTokeniser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Preprocess:121 - Module started (TOKENS->WORDS, locale en).
16-10-2019 15:09:06 INFO  Preprocess:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Preprocess:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  JPhonemiser:121 - Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
16-10-2019 15:09:06 INFO  JPhonemiser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  JPhonemiser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  JPhonemiser:121 - Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
16-10-2019 15:09:06 INFO  JPhonemiser:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  JPhonemiser:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  Prosody:121 - Module started (PHONEMES->INTONATION, locale en).
16-10-2019 15:09:06 INFO  Prosody:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  Prosody:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  SimplePhoneme2AP:121 - Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
16-10-2019 15:09:06 INFO  SimplePhoneme2AP:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  SimplePhoneme2AP:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  PronunciationModel:121 - Module started (INTONATION->ALLOPHONES, locale en).
16-10-2019 15:09:06 INFO  PronunciationModel:134 - Starting power-on self test.
16-10-2019 15:09:06 INFO  PronunciationModel:149 - Power-on self test complete.
16-10-2019 15:09:06 INFO  OpenNLPPosTagger:121 - Module started (WORDS->PARTSOFSPEECH, locale en).
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  JPhonemiser:121 - Module started (PARTSOFSPEECH->PHONEMES, locale fr).
16-10-2019 15:09:07 INFO  JPhonemiser:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  JPhonemiser:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  Preprocess:121 - Module started (TOKENS->WORDS, locale fr).
16-10-2019 15:09:07 INFO  Preprocess:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  Preprocess:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:121 - Module started (WORDS->PARTSOFSPEECH, locale fr).
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  JTokeniser:121 - Module started (RAWMARYXML->TOKENS, locale it).
16-10-2019 15:09:07 INFO  JTok:146 - loading language resources for it from jtok/it
16-10-2019 15:09:07 INFO  JTokeniser:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  JTokeniser:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  Preprocess:121 - Module started (TOKENS->WORDS, locale it).
16-10-2019 15:09:07 INFO  Preprocess:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  Preprocess:58 - Expanding say-as elements...
16-10-2019 15:09:07 INFO  Preprocess:60 - Matching and expanding patterns...
16-10-2019 15:09:07 INFO  Preprocess:62 - Done.
16-10-2019 15:09:07 INFO  Preprocess:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  JPhonemiser:121 - Module started (PARTSOFSPEECH->PHONEMES, locale it).
16-10-2019 15:09:07 INFO  JPhonemiser:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  JPhonemiser:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:121 - Module started (WORDS->PARTSOFSPEECH, locale it).
16-10-2019 15:09:07 INFO  OpenNLPPosTagger:134 - Starting power-on self test.
